L_i   ;     L_0        ;Ww_i       ; Ww_0 ; L = length;Ww = wet weight
     1.7868       NaN      9.9764    2.41e-07;;;;i = mature ;0 = offspring
     1.7453       NaN      6.9995    2.52e-07;;;;;
     26.541       NaN       20695    6.93e-07;;;;;
     1.3986       NaN      4.2789     4.6e-06;;;;;
    0.80583       NaN     0.62309     4.8e-06;;;;;
     2.9666       NaN      27.727    6.07e-08;;;;;
    0.95523       NaN      1.2386    5.04e-07;;;;;
    0.27058       NaN    0.020494    1.11e-06;;;;;
    0.31243       NaN    0.032346    8.61e-07;;;;;
     0.6866       NaN     0.33721    1.18e-07;;;;;
     5.5425       NaN      174.27    7.33e-06;;;;;
     1.1098    0.1968      2.3206         NaN;;;;;
      4.932       NaN      143.77    1.28e-05;;;;;
     1.3841       NaN       3.192    1.95e-07;;;;;
     5.3039       NaN      222.88    1.44e-06;;;;;
     1.8455       NaN      11.607    6.34e-06;;;;;
     2.0468       NaN      11.016    3.24e-08;;;;;
     3.3877       NaN      66.964    5.71e-07;;;;;
     3.0272       NaN      29.895    6.99e-07;;;;;
     5.2088       NaN      146.61    2.74e-08;;;;;
     4.5547       NaN       122.6    4.85e-07;;;;;
     2.1686       NaN      14.267    1.15e-05;;;;;
     3.0604       NaN      228.54    6.74e-06;;;;;
     9.5562       NaN      936.65    6.82e-07;;;;;
     2.4732       NaN      22.364    9.52e-06;;;;;
     5.2753       NaN      241.65     7.6e-08;;;;;
     4.6005       NaN      187.93    1.86e-06;;;;;
     2.1035       NaN      23.693    4.85e-06;;;;;
     3.1012       NaN      629.58    1.18e-06;;;;;
     5.6666       NaN      319.82    3.66e-07;;;;;
      3.212       NaN       56.21    1.22e-07;;;;;
     5.6934    0.1461      1473.8    3.06e-07;;;;;
     7.2095       NaN      468.76    2.18e-06;;;;;
     1.1737       4.6      5.6553    1.52e-06;;;;;
     6.0061       NaN      307.39    3.81e-07;;;;;
     3.1273       NaN      51.395    3.18e-08;;;;;
     5.1447       NaN       472.1    1.02e-05;;;;;
     4.8452       NaN      123.71    3.43e-08;;;;;
     4.3969       NaN      105.77    9.62e-08;;;;;
     3.3587       NaN      43.377    5.51e-08;;;;;
     2.8641       NaN      38.393    1.27e-05;;;;;
     1.1497       NaN      1.8419    1.31e-07;;;;;
    0.79056       NaN     0.50073    4.73e-07;;;;;
     1.6965       NaN      5.3652    1.23e-06;;;;;
    0.62493       NaN      28.248    1.06e-06;;;;;
     8.6922       NaN      747.14    1.33e-07;;;;;
      4.053     0.959      84.531    2.08e-08;;;;;
     3.4815       1.3      115.61    3.88e-08;;;;;
     5.1179       NaN      427.62    4.91e-07;;;;;
