Phylum;Genus;Species;ProgenySize;AdultSize;ARMSCommon
Chordata;Ommatophoca;rossii;600;7650;Seals
Chordata;Monachus;monachus;769;15000;Seals
Chordata;Arctocephalus;galapagoensis;150;1240;Seals
Chordata;Arctocephalus;australis;169;1880;Seals
Chordata;Cystophora;cristata;938;11200;Seals
Chordata;Monachus;schauinslandi;638;10200;Seals
Chordata;Hydrurga;leptonyx;1220;18800;Seals
Chordata;Phoca;largha;356;4610;Seals
Chordata;Arctocephalus;pusillus_pusillus;216;4500;Seals
Chordata;Arctocephalus;forsteri;135;1880;Seals
Chordata;Otaria;byronia;488;5400;Seals
Chordata;Pusa;hispida;169;4120;Seals
Chordata;Odobenus;rosmarus;2250;45000;Seals
Chordata;Arctocephalus;pusillus_doriferus;469;4500;Seals
Chordata;Erignathus;barbatus;1260;13500;Seals
Chordata;Enhydra;lutris;54.4;1220;Seals
Chordata;Arctocephalus;tropicalis;158;2060;Seals
Chordata;Arctocephalus;philippii;246;1880;Seals
Chordata;Neophoca;cinerea;272;3940;Seals
Chordata;Zalophus;californianus;281;4120;Seals
Chordata;Callorhinus;ursinus;214;1880;Seals
Chordata;Phoca;vitulina;375;4120;Seals
Chordata;Pagophilus;groenlandica;375;4500;Seals
Chordata;Monachus;tropicalis;638;10100;Seals
Chordata;Histriophoca;fasciata;394;5550;Seals
Chordata;Halichoerus;grypus;581;6980;Seals
Chordata;Eumetopias;jubatus;750;10200;Seals
Chordata;Mirounga;angustirostris;1310;30000;Seals
Chordata;Leptonychotes;weddellii;1090;16900;Seals
Chordata;Arctocephalus;gazella;244;1910;Seals
Chordata;Lobodon;carcinophagus;1120;11200;Seals
Chordata;Mirounga;leonina;1690;30000;Seals
Chordata;Phocarctos;hookeri;272;6000;Seals
Chordata;Balaenoptera;physalus;71200;1.88E+06;Cetaceans
Chordata;Globicephala;melas;2810;33400;Cetaceans
Chordata;Cephalorhynchus;heavisidii;356;2700;Cetaceans
Chordata;Balaenoptera;acutorostrata;7500;2.48E+05;Cetaceans
Chordata;Lagenorhynchus;albirostris;1500;8620;Cetaceans
Chordata;Orcaella;brevirostris;461;3190;Cetaceans
Chordata;Kogia;breviceps;2060;15300;Cetaceans
Chordata;Lagenorhynchus;obscurus;375;2620;Cetaceans
Chordata;Cephalorhynchus;commersonii;188;2960;Cetaceans
Chordata;Pseudorca;crassidens;3000;26200;Cetaceans
Chordata;Phocoena;phocoena;188;2440;Cetaceans
Chordata;Balaenoptera;borealis;33800;7.12E+05;Cetaceans
Chordata;Monodon;monoceros;3000;37500;Cetaceans
Chordata;Balaenoptera;edeni;33800;4.50E+05;Cetaceans
Chordata;Balaenoptera;musculus;2.72E+05;3.94E+06;Cetaceans
Chordata;Megaptera;novaeangliae;75000;1.31E+06;Cetaceans
Chordata;Delphinapterus;leucas;2960;15000;Cetaceans
Chordata;Kogia;sima;1720;10200;Cetaceans
Chordata;Tursiops;spp.;1200;7500;Cetaceans
Chordata;Orcinus;orca;6750;1.12E+05;Cetaceans
Chordata;Pontoporia;blainvillei;296;1540;Cetaceans
Chordata;Phocoenoides;dalli;938;4610;Cetaceans
Chordata;Physeter;macrocephalus;38100;7.50E+05;Cetaceans
Chordata;Lagenorhynchus;acutus;1120;6750;Cetaceans
Chordata;Eschrichtius;robustus;18800;1.18E+06;Cetaceans
Chordata;Lagenorhynchus;obliquidens;562;3380;Cetaceans
