Maximum_weight_g;rmax
57000;0.03
2860;0.41
2000;0.32
2000;0.63
22800;0.4
57000;0.29
11300;0.39
11300;0.25
1500;0.57
1500;0.83
7000;0.67
7000;0.53
7000;0.64
7000;0.71
7000;0.57
7000;0.33
7000;0.6
7000;0.53
45000;0.11
45000;0.18
45000;0.27
280;0.78
2900;0.3
3400;0.83
3400;0.4
2.00E+05;0.84
2.10E+05;0.35
2.10E+05;0.36
6.84E+05;0.13
2100;0.06
2100;0.04
2100;0.06
1540;0.13
3000;0.86
3000;0.51
3000;0.84
3000;0.39
3000;0.64
3000;0.42
3000;0.21
20000;0.66
20000;11.01
6.50E+05;0.48
96000;0.22
96000;0.29
96000;0.27
96000;0.37
96000;0.21
96000;0.47
96000;0.44
96000;1.13
96000;0.44
96000;0.79
96000;0.59
96000;0.59
96000;0.52
96000;0.3
96000;0.98
96000;0.59
96000;0.36
96000;0.62
96000;0.92
96000;1.08
96000;0.84
16800;0.37
16800;0.51
16800;0.22
16800;0.39
16800;0.31
16800;0.3
16800;0.63
16800;0.65
16800;0.52
3110;1.07
3110;1.49
3110;0.48
3110;0.42
3110;0.61
830;0.46
830;0.58
32000;0.4
32000;0.38
32000;0.39
32000;0.42
32000;0.36
1400;0.22
1400;0.17
23600;0.27
2300;0.42
2300;0.14
2300;0.32
1160;0.14
35000;0.6
35000;0.46
6800;0.77
6800;0.54
6800;0.29
6800;0.57
6800;0.9
6800;0.77
6800;1
6800;0.59
6800;0.59
6800;0.2
6800;0.47
6800;0.75
6800;1.38
6800;0.55
6800;0.69
6800;0.68
6800;0.72
6800;1.01
6800;0.12
6800;0.94
6800;1.02
6800;0.56
6800;0.74
6800;0.71
6800;0.94
6800;0.52
6800;0.47
6800;0.59
6800;0.98
6800;1.11
6800;0.83
6800;0.67
6800;0.96
6800;1.02
6800;1.06
6800;0.82
6800;0.93
6800;0.58
6800;0.33
6800;0.41
6800;0.7
6800;0.67
6800;0.72
6800;0.44
6800;0.28
6800;0.56
6800;0.52
6800;0.52
6800;1.1
6800;0.27
6800;0.11
15900;0.51
15900;0.32
15900;0.17
15900;0.17
15900;0.57
15900;0.32
15900;0.24
7710;0.44
7710;0.55
7710;0.23
7710;0.22
7710;0.19
7710;0.4
7710;0.5
7710;0.64
7710;0.26
7710;0.33
7710;0.5
7710;0.34
7710;0.28
7710;0.38
7710;0.37
7710;0.15
7710;0.51
7710;0.29
7710;0.33
7710;0.27
7710;0.13
7710;0.4
7710;0.29
7710;0.5
7710;0.49
7710;0.44
7710;0.35
7710;0.34
7710;0.21
7710;0.27
7710;0.46
7710;0.27
61400;0.45
61400;0.39
61400;0.33
61400;0.42
61400;0.58
61400;0.37
46800;0.33
46800;0.37
46800;0.17
9390;1.32
9390;0.88
9390;1.35
9390;0.83
9390;0.85
32700;0.24
